Fold	c	f_score
fold-2	12.2	0.233076263925
fold-0	12.3	0.283642954237
fold-1	12.3	0.302457466919
fold-2	12.3	0.233076263925
fold-0	12.4	0.283514492754
fold-1	12.4	0.300473933649
fold-2	12.4	0.234589041096
fold-0	12.5	0.283514492754
fold-1	12.5	0.301797540208
fold-2	12.5	0.234589041096
fold-0	12.6	0.283771532185
fold-1	12.6	0.3003315964
fold-2	12.6	0.234589041096
fold-0	12.7	0.283514492754
fold-1	12.7	0.300473933649
fold-2	12.7	0.234589041096
fold-0	12.8	0.283386147578
fold-1	12.8	0.302457466919
fold-2	12.8	0.234589041096
fold-0	12.9	0.284162895928
fold-1	12.9	0.302457466919
fold-2	12.9	0.234589041096
fold-0	13.0	0.283514492754
fold-1	13.0	0.302457466919
fold-2	13.0	0.234589041096
fold-0	13.1	0.284162895928
fold-1	13.1	0.302457466919
fold-2	13.1	0.233076263925
fold-0	13.2	0.283514492754
fold-1	13.2	0.302457466919
fold-2	13.2	0.234589041096
fold-0	13.3	0.283514492754
fold-1	13.3	0.302457466919
fold-2	13.3	0.233076263925
fold-0	13.4	0.284162895928
fold-1	13.4	0.302457466919
fold-2	13.4	0.234589041096
fold-0	13.5	0.283386147578
fold-1	13.5	0.302457466919
fold-2	13.5	0.234589041096
fold-0	13.6	0.282864913871
fold-1	13.6	0.300473933649
fold-2	13.6	0.234589041096
fold-0	13.7	0.284549161758
fold-1	13.7	0.299668089142
fold-2	13.7	0.234589041096
fold-0	13.8	0.284291534631
fold-1	13.8	0.301136363636
fold-2	13.8	0.234589041096
fold-0	13.9	0.284291534631
fold-1	13.9	0.300473933649
fold-2	13.9	0.234589041096
fold-0	14.0	0.284291534631
fold-1	14.0	0.301654846336
fold-2	14.0	0.234589041096
fold-0	14.1	0.284291534631
fold-1	14.1	0.301136363636
fold-2	14.1	0.234589041096
fold-0	14.2	0.284162895928
fold-1	14.2	0.302457466919
fold-2	14.2	0.234589041096
fold-0	14.3	0.284162895928
fold-1	14.3	0.302314596127
fold-2	14.3	0.234589041096
